,trecho,pergunta 1,pergunta 2,pergunta 3,pergunta 4
26,"A filosofia cultural consiste, como o vimos, em uma filosofia coletiva que procede por acumulação de saberes e, não por obra de grandes pensadores em caráter individual. Há pouquíssimos filósofos africanos comparáveis a Platão, a Locke, a Rousseau ou a Hegel. A veia cultural é constituída por uma sabedoria coletiva, acumulada geração após geração.
Ao longo dos períodos colonial e pós-colonial, a filosofia ideológica africana permitiu ao indivíduo, pela primeira vez, afirmar-se como a fonte de todo o pensamento. Teve início o estudo, na filosofia africana, das ideias de indivíduos como Amilcar Cabral ou Gamal ‘Abd al-Nasser e não mais somente da filosofia de entidades culturais, como os zulus e os berberes. 
Se a filosofia cultural é produto de etnias particulares, no sentido por nós indicado, a filosofia ideológica, por sua vez e em linhas gerais, é uma filosofia especificamente africana, na justa medida que, ao proceder por generalizações, ela analisa a situação da África em sua totalidade ou aquela dos negros pelo mundo afora. 
Em outras palavras, conquanto a sua fonte seja mais limitada, comparativamente àquela das filosofias culturais o pensador individual em oposição à sabedoria coletiva de uma etnia, o objeto da filosofia ideológica configura-se como mais extenso a África inteira ou o conjunto dos negros, em oposição a um grupo étnico particular.",,,,
27,"Como era possível prever, o governo nacionalista respondeu intensificando a repressão policial e deportando os militantes. Em 19 de outubro de 1977, a SASO e outras 16 organizações, dentre as quais ABPC e o Soweto Students Representative Council, foram dissolvidas. 
O jornal africano The World foi interditado e o seu redator-em-chefe, Percy Qoboza, lançado em prisão. No mês de novembro, os brancos organizaram eleições gerais em decorrência das quais o Nationalist Party obteve uma fortalecida maioria. Mas, o ciclo de revoltas 
24 Para maiores detalhes, conferir B. S. BIKO, 1972; G. M. GERHART, 1979; T. THOAHLANE org., 1975. 
contra a correlata repressão no interior do país e a luta armada dirigida pelo CNA e o PAC, usufruindo do apoio dos Estados da linha de frente, da OUA, da ONU e dos mais amplos setores da comunidade mundial, este combate e a resistência prosseguiram e intensificaram-se além de 1980. Nas eleições de 1989, ",,,,
28,"Segundo este autor, uma fração dos hawwara atravessou as areias e estabeleceu-se ao lado dos lamta portadores de véu, habitantes nas proximidades da cidade de Kaw-Kaw Gao, no país dos negros561 Ibn Battuta, que atravessou o Ahaggar, diz que os seus habitantes portavam um véu sobre o rosto562. 
561 N LEVTZION e J F P HOPKINS organização, 1981, página 327 
562 Ibn BATTuTA, 1969, volume IV, página 444 e seguintes; N LEVTZION e J F P HOPKINS organização, 1981, página 304 
Tudo leva a crer que a chegada dos ahaggar hawwara no território que eles atualmente ocupam deva estar relacionada com a derrota infringida aos hawwara do Aurès pelo príncipe fatímida al-Muizz, em 342-953, assim como com dispersão destes rebeldes, dentre os quais, alguns, fugiram até o país dos negros, aparentemente rumo ao atual Ahaggar. As fontes árabes mencionam várias regiões ou lugares do Aïr que já eram conhecidas no século 3-9. ",,,,
29,"368 GREENBERG, J. H. 1963.
Em seu trabalho sobre o grupo oeste-atlântico, D. Sapir também a utiliza369. Ele indica que o seereer e o pulaar, colocados no mesmo grupo, têm 37 por cento de palavras em comum; o baga koba e o temne, 79 por cento ; o temne e o seereer, apenas 5 por cento ; o basari e o safeen, também 5 por cento .
Esses idiomas são todos agrupados na mesma família, mas o vocabulário comum que pode ser abundantemente emprestado não é suficiente para negar ou afirmar uma relação histórica. Tem-se recorrido também à similaridade de traços tipológicos ou à identidade de estrutura comparação dos sistemas pronominal, verbal ou nominal, etc.
O componente tipológico, associado aos dados fornecidos pela análise lexical e fonológica, possibilita atingir resultados que se tornam tanto mais comprobatórios quanto forem consideradas a história e as influências. ",,,,
30,"Se olharmos de um ponto de vista ligeiramente diferente, podemos dizer que o valor desigual das mercadorias trocadas reflete a precariedade da África Central no seio do sistema comercial internacional. Como Alpers notou: Embora o marfim tivesse um baixo valor aos olhos das sociedades africanas, essas últimas obtinham em troca mercadorias cujo valor não igualava em nada àquele outorgado ao marfim pelos mercadores capitalistas das Índias, da Europa e da América 65. A diferença era particularmente clara na venda dos escravos. 
Para compensar as perdas de mão de obra que sofriam, as sociedades da África Central recebiam mercadorias perecíveis de baixo custo e armas, que de forma alguma equilibravam a rarefação dessa mão de obra. Deste modo, quando os africanos caçavam o elefante para obter o marfim, esgotavam um recurso limitado e não recebiam os bens de equipamento que poderiam ter-lhes permitido desenvolver a base produtiva de suas sociedades. Segundo algumas pesquisas recentes, eles não só alteravam a sua economia, como também destruíam o meio ecológico. 
À medida que a região empobrecia, as disparidades de riqueza e de status social eram cada vez mais pronunciadas. Embora ainda falte conduzir pesquisas mais detalhadas para podermos determinar a natureza dos sistemas de produção e de divisão dos excedentes nas sociedades da África Central, é claro que a aristocracia, frequentemente aliada à classe dos mercadores ou a uma parte dela, 
63 H. W. Langworthy, s. d. , páginas 20-21. ",,,,
31,"108 O Brado Africano, 27 de fevereiro de 1931. A tradução em inglês foi extraída de DUFFY, 1959, p. 305. 
109 Entrevista com Luís Bernardo Honwana, 3 e 4 de outubro de 1981; HAMILTON, 1975, p. 164-7. 
forneceu ao novo grupo instalações, móveis, livros e capitais generosos, enquanto um destacado empresário português, Paulo Gil dos Santos, empregava vários chefes da nova organização como recrutadores de mão de obra. Quatro anos depois, o regime de Salazar impôs uma censura extremamente severa, reduzindo O Brado Africano ao silêncio. 
Durante esse período, um pequeno número de intelectuais moçambicanos que vivia em Portugal ajudou a formar organizações que estavam ligadas ao movimento pan-africano em geral. As mais importantes foram a Liga Africana e o Partido Nacional Africano. A primeira mantinha estreitos laços com o PanAfrican Congress, de W. E. B. Du Bois, enquanto o segundo pendia mais para o garveyísmo, Nenhum, porém, conquistou verdadeiramente adeptos na Colônia, e suas atividades permaneceram largamente simbólicas110. ",,,,
32,"A despeito destas tentativas para fortalecer o seu estabelecimento,o islã estava distante de consistir em uma unanimidade. Ele se tornou a religião de pequenas comunidades de comerciantes e clérigos profissionais; a influência que ele obteve 
junto às cortes foi superficial, ao passo que a massa das populações permanecia fiel às suas crenças tradicionais Pouco a pouco, entretanto, estes conceitos e as atitudes islâmicas ganharam terreno, criando uma situação caracterizada por um islã híbrido. 
A pronta aceitação deste tipo de islã pelos comerciantes haussa, os quais formavam a classe comercial muçulmana mais engenhosa após aquela dos dioula, favoreceu o prosseguimento da propagação do islã nestas regiões do Sudão. 
Abrindo rotas comerciais rumo aos países produtores de cola, no interior da Gold Coast atual Gana onde eles encontraram os dioula, fazendo movimento rumo ao Leste, eles levaram o islã até as margens da floresta. ",,,,
33,"Tawfik ficou tão assustado que ordenou a formação de uma assembleia popular e promulgou a 7 de fevereiro de 1882 uma constituição relativamente liberal. Sabendo que esse passo em direção ao constitucionalismo nada tinha de sincero, os urabistas estavam dispostos a derrubar Tawfik e até pensavam em declarar o Egito uma república. Como esta situação ameaçasse os privilégios e interesses estrangeiros, a revolução viu-se diretamente confrontada com as potências europeias ver fig. 4.2.
Entretanto, o quediva conspirava em segredo para esmagar a revolução. A fim de provocar uma intervenção estrangeira, afirmam certos historiadores egípcios, o quediva e os ingleses organizaram o massacre de Alexandria de 12 de junho de 1882, em que numerosos estrangeiros foram mortos, e muitas propriedades danificadas6. 
Verdadeira ou não, a acusação não importa: de fato, o quediva tinha solicitado a intervenção dos ingleses, e estes responderam com grande rapidez e entusiasmo. O gabinete egípcio, por unanimidade, decidiu repelir a invasão e rejeitou o ultimato inglês para desistir da fortificação das defesas costeiras e desmantelar as posições de artilharia em torno de Alexandria. 
Isso deu à esquadra inglesa o pretexto para bombardear a cidade em 11 de julho de 1882 ver fig. 4.3. O exército e o povo do Egito, embora oferecessem corajosa resistência aos invasores, foram vencidos por forças superiores. Cerca de 2 mil egípcios encontraram a morte nessa batalha. ",,,,
34,"Capitulo 12 Y. Person (Franca): especialista em historia da Africa, em particularno mundo mandingo; tem muitas obras publicadas sobre historia daAfrica; professor da Universidade de Paris I, Pantheon-Sorbonne; falecido.
Capitulo 13 P. Kipre (Costa do Marfim): especialista na historia moderna e contemporaneada Costa do Marfim; publicou varios artigos com base na tradicaooral; leciona na Ecole Normale Superieure, Abidja.
Capitulo 14 A. F. C. Ryder (Reino Unido): especialista na historia da Africa ocidental;publicou varias obras sobre os periodos pre-colonial e colonialdessa regiao; professor da Universidade de Bristol.
Capitulo 15 J. C. Garcin (Franca): especialista na historia do Egito muculmano;publicou varios estudos sobre o Egito mameluco e sobre o alto Egitomuculmano; leciona na Universidade de Provenca, Aix-en-Provence.",,,,
35,"545 O processo de formação do Estado bambara a partir da instituição social do ton será detalhado mais abaixo. 
546 Foi assim que, propondo regulamentar as multas relativas ao gado, Kassum, quis direcionar a associação rumo ao terreno dos bens móveis, que os sonunke estavam seguros de dominar. 
O segundo ataque de Kong foi repelido graças ao apoio dos Tyero Somono que lançaram enxames de abelhas contra a cavalaria inimiga547. Após ter libertado San e rechaçar os senufo, o mestre de Ségou reduziu, entretanto, as pesadas taxas que afligiam os habitantes de Kong. Nesta época, Foulakoro reinava no Kaarta548. 
Ele estava engajado no cerco de Murdia. Esta cidade pediu ajuda a Mamari que esperava apenas este sinal para intervir. Ele venceu e fez prisioneiro Foulakoro que pereceu no cativeiro. Os massassi tiveram de se distanciar ainda mais rumo ao oeste. Mamari Koulibali, chamado Biton, impôs-se também à totalidade do país bambara, compreendendo Bélédougou. O Macina e Djenné foram colocados sob sua autoridade e ele se fez construir palácios por meio de um arquiteto de Djenné. ",,,,
36,"uma família de marabutos, ele foi e permaneceu, antes de mais nada, um homem de estudos alim e um reformista, no sentido da época: ele pregou o retorno às fontes da fé, condição primeira da regeneração da umma. No estado de anarquia em que o país se encontrava mergulhado, chefes de kabila e marabutos de Orã elegeram-no como chefe único da resistência, em novembro de 1832. 
Por seu carisma pessoal, pela diplomacia ou pela força, Abd Al-Khadir conseguiu, no auge de sua potência, em 1839, unir ao seu redor as populações dos dois terços da Argélia. 
Por isso, na perspectiva de uma ocupação restrita, as autoridades francesas Desmichels, em 1834; Bugeaud, em 1837 estabeleceram um acordo com ele e reconheceram sua autoridade no interior do país, em troca de sua aceitação da ocupação francesa nas regiões litorâneas. Estas autoridades francesas até mesmo prestaram-lhe ajuda, em certas ocasiões, contra seus adversários. 
Pouco a pouco, Abd Al-Kadir foi levado a conceber uma organização estatal, se não centralizada, pelo menos unificadora, inspirada, simultaneamente, nos princípios corânicos fiscalidade, justiça e nas realidades locais adequação da organização administrativa e guerreira ao estado social do país. ",,,,
37,"imperador foi intransigente: ele exigia a retrocessão dos distritos fronteiriços de Bogos, Matamma e das terras de Shanqella, e queria um acesso ao mar149. 
Insistente sobre a justiça da sua causa, ele repreendeu ao inglês, como cristão, de servir a um governo muçulmano. Escreveu uma carta irritada ao quediva Tawfik, observando que o Egito tinha se comportado como um ladrão, acrescentando: quereis a paz, mas impedis aos mercadores abissínios de chegarem a Massawa. Haveis tomado terras que não são vossas150. Gordon, cujas instruções excluíam qualquer cessão de território, achou a entrevista embaraçosa. 
Irritado pela vigilância estreita à qual o imperador o havia submetido, ele acreditava não poder deixar o país; escreveu, mais tarde, nas memórias de um dos prisioneiros de Teodoro que tivera a chance de sair vivo. A propósito de Johannès, ele observou que o imperador falava como o Antigo Testamento e se tornava cada vez mais louco151. Todavia, à sua própria irmã, ele ponderou:
Johannès é, muito curiosamente, como eu um fanático religioso. Ele tem uma missão; e ele a cumprirá. Esta missão consiste em cristianizar todos os muçulmanos152. ",,,,
38,"1 DAVIDSON, A. B., 1968, p. 181-3. 
rigor, distinguindo o banditismo social da rebelião camponesa, e a guerrilha do choque entre exércitos. Em certos casos, demonstrou-se que episódios descritos como rebeliões pelos colonizadores haviam sido impostos à população por ignorância e medo da parte dos brancos2. 
Em casos ainda mais numerosos, foram resgatados movimentos de resistência de grande envergadura e de grande alcance, antes ignorados. Hoje dispomos de estudos detalhados sobre a maior parte dos levantes importantes; em alguns casos, desenvolveu-se uma sólida argumentação sobre a melhor explicação e a melhor interpretação a dar a esses levantes. Tudo isso vem mostrar que Davidson tinha razão ao pensar que a resistência foi um fenômeno organizado.
Fica claro também que as velhas tentativas de distinguir, entre as sociedades africanas, as naturalmente belicosas e as naturalmente pacíficas são fora de propósito. ",,,,
39,"Em todas estas atividades, os europeus deviam considerar a situação local. 
Exploradores, missionários e comerciantes eram obrigados a utilizar os meios de transporte e os sistemas de comunicação existentes, além de levarem em conta a estrutura das interações geográficas e etnográficas. 
Mungo Park encontrou a morte no rio Níger, a bordo de uma piroga - modo secular e tradicional de transporte -, não distante de Busa, no Borgu. 
Para as célebres expedições em busca da nascente do Níger, Hugh Clapperton e os irmãos Lander utilizaram uma antiga pista que ligava diferentes subgrupos iorubás aos seus vizinhos de língua aja, assim como o país iorubá no Borgu, ao país hauassa, no Borno, prosseguindo mais além. ",,,,
40,"A sagração de Susenyos 1607 marcou o início da fase final da rivalidade entre a Igreja ortodoxa etíope e a Igreja missionária católica. 
Durante os cinco primeiros anos de seu reinado, Susenyos eliminou, graças a uma série de campanhas vitoriosas, os inimigos mais perigosos do Império, tanto nacionais quanto estrangeiros: 
os poucos falasha ainda existentes foram exterminados, os agaw população autóctone da Etiópia Central e ocidental que, até o momento, beneficiaram-se de uma certa autonomia foram definitivamente submetidos e, por fim, os oromo passaram por tantos reveses que se mantiveram sossegados por muito tempo. 
Os talentos excepcionais do chefe da missão jesuíta, Pedro Paez, teólogo, pregador, professor e arquiteto, abriram-lhe o acesso à corte imperial e, sob a efígie dessa forte personalidade, o imperador tendeu cada vez mais rumo ao catolicismo. ",,,,
41,"O primeiro Congresso Pahouin, convocado com esta finalidade em Mitzik, de 26 a 28 de fevereiro de 1947, voltou-se contra a administração colonial: não somente adotando uma atitude crítica vis-à-vis do poder colonial mas, além disso, plebiscitando Léon Mba, porta-voz dos cidadãos das cidades, como o único N’Zoe Fang chefe dos Fang.Tratava-se ali do primeiro sinal da aliança entre cidadãos urbanos e rurais, o que faria a força dos nacionalismos da África Central durante os anos 195016. 
A década seguinte à Segunda Guerra Mundial foi marcada por uma conjuntura mundial propícia cujos efeitos fizeram-se sentir na África Central. As metrópoles coloniais, reconstruindo as suas economias, solicitaram, ainda e de mais em mais, os esforços do seu império. 
Eis o porquê de um crescimento assaz notável e eventualmente espetacular, no conjunto dos territórios, em cujas estruturas de exploração específicas do imperialismo colonial não seriam, todavia e sob hipótese alguma, recolocadas em causa. Consideradas as inevitáveis decalagens e desigualdades, ligadas aos recursos naturais então conhecidos e às políticas econômicas praticadas, devemos distinguir vários tipos de crescimento e de estruturas.
A maioria das colônias apresentou até a independência uma economia predominantemente agrícola. O desenvolvimento das relações de produção capitalistas nesse contexto foi muito lento e pouco significativo, salvo nas zonas onde os colonos europeus instalaram-se, confiscando terras e reduzindo os camponeses desapropriados à categoria de operários agrícolas permanentes ou temporários. ",Qual a principal atividade economica das colônias independentes?,,,
42,"Esses alimentos eram complementados com pequenos animais, como tartarugas, coelhos e toupeiras-das-dunas, com herbívoros de pequeno porte e, menos freqüentemente, com animais de maior porte. Os grupos que viviam ao longo da costa apanhavam peixes, lagostas, focas e pássaros marinhos e coletavam grandes quantidades de moluscos, principalmente lapas e mexilhões. 
Os recursos fluviais, incluindo moluscos de água, doce e peixes, também eram utilizados, havendo uma referência histórica a peixes secos1074. Thunberg no registro de suas observações quando esteve no Cabo ocidental, na década de 1770, descreve uma bebida preparada pelos caçadores ou pelos pastores, se não por ambos: 
1071 DEACON, H. J. & J. 1972; RUDNER, J. 1968. páginas 441-663. 
1072 PARKINGTON, J. E. & PÖGGENPOEL, C. 1971. página 6; CARTER, P. L. 1969. páginas 1-11.",,,,
43,"Por toda a região, as técnicas artesanais já haviam assumido em 1100 as características que conservariam até mais ou menos 1900: a metalurgia do ferro 
estava bem desenvolvida, e entre as demais atividades se incluíam a cerâmica, a fabricação de cestos, a tecelagem em ráfia, a tanoaria e a extração de sal do mar, dos mangues, de plantas ou ainda de sal-gema. As escavações efetuadas em Bouar, na República Centro-Africana, bem como as de Sanga, comprovam a existência da metalurgia. É possível que as minas de ferro de Munza, em Shaba, tenham sido exploradas desde muito cedo, e que tal fato estivesse ligado à expansão do reino luba1056. 
Com essas técnicas, nasceu um comércio regional. As primeiras indicações do emprego de cruzetas de cobre como moeda aparecem no Cinturão do Cobre, por volta do ano 1000; até 1450-1500, essa prática se havia alastrado do rio Zambeze até o Lualaba. 
Os portugueses encontraram no Kongo, em 1483, uma moeda imaginária, a que se dava o nome de nzimbu; por volta de 1500, quadrados de ráfia circulavam, como unidade de valor, nas rotas comerciais de toda a savana meridional fronteira ao Atlântico. No século seguinte, o sal-gema de Kisama funcionou como moeda1057. ",,,,
44,"As jazidas do leste do lago Turkana, onde foram encontrados restos de hominídeos, abrangem um período entre 3 e 1 milhão de anos.
A figura 17.12em preto e branco, mostra num plano geral o Canteiro de escavações em Olduva; onde cinco homens estão sentados logo abaixo de uma grande rocha, trabalhando.da esquerda para a direita, um homem vestindo calça e camisa preta, com uma espécie de turbante preto, amarrado na cabeça, ao seu lado um outro homem vestindo calça escura e camisa xadrez, usando um gorro branco na cabeça. Mais ao lado direito , ao centro, outro homem, com cabelos fartos, vestindo uma roupa branca, ao seu lado direito um pouco atrás, um outro homem vestindo calça e camisa de manga longa claras, com um grande chapéu de palha e por ultimo um outro homem, sentado logo à frente, de lado com calça e camisa branca e uma espécie de boina branca na cabeça. No detalhe, todos estão descalços. 
Foto J. Chavaillon. 
Coleção Museu do Homem.",,,,
45,"A União Aduaneira e Econômica da África Central UDEAC, instaurada em janeiro de 1966, em nada obteve maior êxito; as restrições decorrentes da abertura dos mercados e o desrespeito às regulamentações que ela estabelecera usurparam da União o essencial da sua força, na qualidade de sistema de integração. 
Destarte, o Conselho da Entente, fundado no ano 1959, por iniciativa do presidente marfinense Houphouët-Boigny, parece perder a sua importância, levando as atenções a se voltarem progressivamente para um agrupamento dinâmico, mais amplo, a CEAO. 
À efêmera Organização dos Estados Ribeirinhos do Senegal OERS, 1968-1971, sucedeu, em 1972, a Organização para a Valorização do Rio Senegal OMVS, a qual, todavia não viria a criar um mecanismo viável de cooperação. Igualmente, os acordos de cooperação estabelecidos, entre os novos membros do Comitê Consultivo Permanente do Magreb, nascido em novembro de 1965, não seriam jamais ratificados. 
4 A. ADEDEJI, 1977, p. 10. ",,,,
46,"Raymond Mauny arriscou uma estimativa do número de escravos negros exportados para o norte da ordem de 20 mil por ano, ou 2 milhões por século1189. 
Os árabo-berberes não tinham tanta necessidade de mão de obra para uma demanda tão grande. É importante lembrar o famoso tratado, referido como o bakt, assinado pelos dirigentes do Egito e pelos reis da Núbia. 
Estipulava ele que o rei da Núbia deveria mandar 442 escravos anualmente para o Cairo, assim distribuídos: 365 para o tesouro público, 40 para o governador do Cairo, 20 para seu delegado em Aswan Assuã, 5 para o juiz de Aswan e 12 para os 12 notários da cidade. O tributo exigido pelo sultão do Cairo prova que as necessidades da corte não eram enormes. 
1188 AL-UMARI, in CUOQ, 1975, páginas 269. ",,,,
47,"Nenhuma data precisa marca o início deste novo período para o conjunto do continente. Ele se confunde com o da conquista e com a fase ascendente da coerção nas relações econômicas. Na África Equatorial Francesa e nos territórios portugueses, a coerção inicial perdurou até a década de 1930. A transição deve ser considerada em separado, levando em conta cada colônia e suas diferentes regiões geográficas. 
Em muitos locais, o sistema econômico colonial já estava estabilizado ao final da primeira década deste século. Sofreu um contragolpe com a Primeira Guerra Mundial, mas restabeleceu-se depois de forma mais elaborada. 
A exploração mineira dominou as economias da África austral durante o pós-guerra, e pouco faltou para que ela não colocasse toda a região sob uma única economia colonial. Por um lado, o processo de formação de monopólios e de cartéis assegurou a hegemonia do grande capital na então União Sul-Africana, no Sudoeste Africano e nas Rodésias. 
Por outro, o poderio econômico dos centros mineiros era tal que exigia e pôde obter um vasto reservatório de mão de obra, que se estendia a zonas cuja principal atividade econômica não era a exploração mineira – especificamente os territórios do alto-comissariado Basutolândia, atual Lesotho; Bechuanalândia, atual Botsuana, e Suazilândia, a Niassalândia, Moçambique e Angola. ",,,,
48,"Etapa B. Declarações preliminares da maior parte dos participantes; 
Etapa C. Discussão geral. 
Resumo 1. O professor Vercoutter desenvolveu várias questões, tratadas com mais detalhe em seu relatório escrito, e fez diversas observações adicionais. 
Observação  a. A antropologia física, apesar dos recentes progressos, tem fornecido, à exceção da Núbia, relativamente poucos dados confiáveis. As informações disponíveis são insuficientes para que se tirem quaisquer conclusões acerca do povoamento do antigo Egito e as fases sucessivas por que teria passado. Além disso, tais informações não são homogêneas, temporal como espacialmente, e os Historiadores freqüentemente discordam quanto à sua interpretação.",,,,
49,"Assistimos assim, na costa da África ocidental, ao nascimento de uma verdadeira dramatização, que desloca formas e lugares sob o duplo assalto das proibições islâmicas e da evangelização cristã, nascimento reforçado pela influência dos antigos escravos regressados a Serra Leoa e Libéria, os quais trouxeram consigo as formas de espetáculo, as maneiras, os valores, os costumes e as expressões idiomáticas de seus países de exílio11. 
11 KOPYTOFF, 1965, p. 86-133; AJAYI, 1965, p. 25-52; JULY, 1968, p. 177-95. 
O teatro profissional – forma secular, derivada das representações mascaradas para funerais de reis – era acontecimento comum no velho império Oyo da Nigéria durante todo o século 19. A desintegração do império sob o ataque dos Peul vindos do norte e as devastações causadas pela guerra civil com vassalos rebeldes do sul produziram, como efeito simultâneo, a dispersão das troupes profissionais para o sul e para além das fronteiras do Daomé atual Benin e a sua extinção no local de origem. 
Os muçulmanos vitoriosos proibiram a maior parte das formas de espetáculo teatral e, muito particularmente, aquelas associadas às festas dos antepassados onde havia representação da figura humana, o que é interditado pela religião muçulmana.",,,,
50,"Estes novos dignitários da Igreja forçosamente contribuiriam, levando ao conhecimento de sua opinião, no que diz respeito à busca política pela personalidade, pela identidade e pela autenticidade africanas. 
12 V. Y. MUDIMBE, 1985. 
Enquanto a cristandade apresentava-se como aliada do colonialismo, os Estados muçulmanos opuseram contra as potências coloniais uma resistência das mais determinadas. Entretanto, a despeito de um clima de desconfiança permanente e de manifestações de hostilidade, o islã tirou proveito da presença colonial. 
s potências coloniais desconfiavam, de forma extrema dos laços internacionais criados pelo islã, além de jamais terem cessado de vigiar de perto esta rede, sobretudo, quando tratava-se de centros notoriamente antiimperialistas como o Cairo. Elas controlavam as movimentações dos potenciais eruditos que pretendessem desenvolver estudos e, inclusive, as peregrinações no Oriente Médio. ",,,,
51,"O desenrolar dos acontecimentos resultantes destas convergências e divergências, de posicionamento e interesses, foi amplamente determinado pelo dispositivo de instituições multilaterais que o Ocidente estabelecera com vistas a administrar o sistema capitalista, no período posterior às catástrofes da Segunda Guerra Mundial. A ONU especialmente alguns dentre os seus organismos, como a Conferência sobre o Comércio e Desenvolvimento, CNUCED, a Comunidade Econômica Europeia, o Banco Mundial e o Fundo Monetário Internacional deveriam figurar, a um só tempo, na qualidade de atores principais e como teatro do drama em vias de se reproduzir. 
Desde os primórdios da Segunda Guerra Mundial, os dirigentes da aliança Antieixo deram-se conta da necessidade de se neutralizar as intensas rivalidades econômicas que dividiam as potências capitalistas, se acaso fosse desejável evitar outro conflito mundial. Eles decidiram, portanto, estabelecer dispositivos que, segundo as suas expectativas, lhes permitiriam administrar a paz no imediato posterior ao conflito. 
A Carta do Atlântico, redigida em 1941, pelo então presidente dos Estados Unidos da América do Norte, Franklin Roosevelt, e pelo primeiro-ministro britânico, Winston Churchill, tornou-se a sua referência.
Ela norteava-se pelos princípios do multilateralismo, conceito que igualmente inspirou a organização das grandes instituições político-econômicas e militares do mundo capitalista no pós-Guerra.",,,,
52,"Referindo-se às ilhas Maldivas, escreve: A moeda dessas ilhas é o cauri.Trata-se de um animal recolhido no mar.É colocado em fossos, onde sua carne desaparece, restando apenas um osso branco Comercia-se por meio desses cauris a razão de quatro bustu por um dinar. Pode ocorrer que seu preço baixe a ponto de se vender doze bustu por um dinar. São vendidos aos habitantes de Bangala Bengala em troca de arroz. 
É também a moeda dos habitantes do Bilad Bangala O cauri é ainda a moeda dos Sudan os negros em seu país. Vi-os serem vendidos em Melli Niani, no Império do Mali e Gugu Gao, capital do Songhai à razão de 1150 por um dinar de ouro. 
Essa concha, o cauri, será a moeda da maior parte dos reinos sudaneses durante o período em estudo. É encontrada unicamente nas ilhas Maldivas, o que permite medir a intensidade da circulação de homens e bens na África e no oceano Índico. 
Um terceiro autor, cujas informações precisas fundam-se numa documentação filtrada, é al-UmarI Ibn Fadl Allah, secretário na corte dos Mamelucos entre 1340 e 1348. ",O que é o cauri?,,,
53,"Al-UmarI conta que um soberano como o mansa Kanku Musa, do Mali, tinha ideia muito clara da extensão das terras dos povos negros e do lugar que nelas ocupava seu império.
Por enquanto, temos mais informações sobre a maneira pela qual as culturas periféricas conheciam e, acima de tudo, viam o continente africano. Falar em culturas periféricas é agrupar sob a mesma denominação o mundo muçulmano, tanto africano quanto não africano veremos adiante as importantes implicações disso ,e os mundos asiático, bizantino e ocidental.
Os muçulmanos conheciam a África. Mas, no séculos 14, sua tradição cultural, transmitida de geração em geração, ainda refletia ideias antiquadas e conhecimento incompleto. Essa visão escolástica, como veremos, contrastava com o processo de descobrimento do continente que, já ativo no século 11, desenvolveu-se notavelmente durante o 14. 
Até mesmo o grande Ibn Khaldun reconhecia que suas fontes para tratar de regiões inteiras ainda eram Ptolomeu e al-IdrIsI1238. Sobre as regiões equatoriais, escreve revelando perplexidade: ",,,,
54,"Os kharidjitas sobreviventes retiraram-se para regiões isoladas Mzab,. Djabal Nafusa etc. ou abandonaram progressivamente a sua doutrina para se converterem ao malikismo, já solidamente implantado em Kayrawan, em Ifrikiya e em algumas regiões do Marrocos. O kharidjismo inclusive perdera a sua razão de ser, como expressão específica da oposição berbere contra o domínio estrangeiro. 
75 Por exemplo, P K HITTI, 1956, páginas 450-451 
Não mais havia dominação estrangeira no Magreb desde que os fatímidas, tendo transferido o centro do seu império para o Egito, abandonaram o Magreb ao governo dos zíridas berberes, os quais não tardariam a se proclamarem independentes e a fazerem sermão de obediência ao califa sunita de Bagdá Pouco tempo após, a porção ocidental do Magreb cairia sob domínio dos almorávidas berberes que eliminaram da região os últimos vestígios do kharidjismo, do xiismo e da heresia barghawata, estabelecendo definitivamente o domínio da escola malikita do islã sunita 
Ivan Hrbek ",,,,
55,"O reino estabeleceria relações com os mercadores do litoral quando estes penetraram mais profundamente pelo interior na segunda metade do século 19. O nabongo Mumia esperava utilizá-los para revigorar o seu reino em declínio, em troca da concessão de uma base comercial. 
Durante a primeira metade do século 19, ocorreu também um evento histórico importante: a invasão do Tanganica interior pelos nguni, a qual produziu profundas repercussões políticas. Esta invasão, bem como o comércio de caravanas, teria efeitos tanto positivos como negativos sobre as sociedades do interior. 
No plano político, estes dois processos favoreceram a formação de Estados ou sua consolidação em algumas regiões, e sua desintegração em outras. Mas todos estes fenômenos ocorreram na segunda metade do século 19, ou seja, após o período analisado aqui. 
O comércio internacional dos omanianos O estudo mostrou que as sociedades do interior reagiram de modo muito diversificado aos contatos com o comércio de caravanas e que as consequências sociais, políticas e econômicas destes contatos foram muito variadas. De uma maneira geral, durante o período estudado, o interior foi muito mais influenciado pelo litoral no Tanganica do que no Quênia. ",Quando ocorreu a invasão do Tanganica interior pelos nguni?,,,
